"label","plate no.","exp_no","cell","treatment","day","day_lb","measurement","value"
"C3_Sample11.fcs",NA,1,"S3T21","CTRL",5,"d5","isl_pos",83.8
"C3_Sample11.fcs",NA,1,"S3T21","CTRL",5,"d5","islctnt_pos",0.75
"C3_Sample11.fcs",NA,1,"S3T21","CTRL",5,"d5","ctnt_pos",0.16
"C3_Sample11.fcs",NA,1,"S3T21","CTRL",5,"d5","tot_isl",84.55
"C3_Sample11.fcs",NA,1,"S3T21","CTRL",5,"d5","tot_ctnt",0.91
"C4_Sample12.fcs",NA,1,"S3T21","CTRL",6,"d6","dbl_neg",20.7
"C4_Sample12.fcs",NA,1,"S3T21","CTRL",6,"d6","isl_pos",52.5
"C4_Sample12.fcs",NA,1,"S3T21","CTRL",6,"d6","islctnt_pos",23.7
"C4_Sample12.fcs",NA,1,"S3T21","CTRL",6,"d6","ctnt_pos",3.12
"C4_Sample12.fcs",NA,1,"S3T21","CTRL",6,"d6","tot_isl",76.2
"C4_Sample12.fcs",NA,1,"S3T21","CTRL",6,"d6","tot_ctnt",26.82
"C5_Sample13.fcs",NA,1,"S3T21","CTRL",7,"d7","dbl_neg",26.6
"C5_Sample13.fcs",NA,1,"S3T21","CTRL",7,"d7","isl_pos",40
"C5_Sample13.fcs",NA,1,"S3T21","CTRL",7,"d7","islctnt_pos",28.2
"C5_Sample13.fcs",NA,1,"S3T21","CTRL",7,"d7","ctnt_pos",5.19
"C5_Sample13.fcs",NA,1,"S3T21","CTRL",7,"d7","tot_isl",68.2
"C5_Sample13.fcs",NA,1,"S3T21","CTRL",7,"d7","tot_ctnt",33.39
"C6_Sample14.fcs",NA,1,"S3T21","CTRL",8,"d8","dbl_neg",31.9
"C6_Sample14.fcs",NA,1,"S3T21","CTRL",8,"d8","isl_pos",23.1
"C6_Sample14.fcs",NA,1,"S3T21","CTRL",8,"d8","islctnt_pos",25.3
"C6_Sample14.fcs",NA,1,"S3T21","CTRL",8,"d8","ctnt_pos",19.7
"C6_Sample14.fcs",NA,1,"S3T21","CTRL",8,"d8","tot_isl",48.4
"C6_Sample14.fcs",NA,1,"S3T21","CTRL",8,"d8","tot_ctnt",45
"C7_Sample15.fcs",NA,1,"S3T21","CTRL",9,"d9","dbl_neg",36.7
"C7_Sample15.fcs",NA,1,"S3T21","CTRL",9,"d9","isl_pos",18.4
"C7_Sample15.fcs",NA,1,"S3T21","CTRL",9,"d9","islctnt_pos",22.2
"C7_Sample15.fcs",NA,1,"S3T21","CTRL",9,"d9","ctnt_pos",22.7
"C7_Sample15.fcs",NA,1,"S3T21","CTRL",9,"d9","tot_isl",40.6
"C7_Sample15.fcs",NA,1,"S3T21","CTRL",9,"d9","tot_ctnt",44.9
"C8_Sample16.fcs",NA,1,"S3T21","CTRL",10,"d10","dbl_neg",41
"C8_Sample16.fcs",NA,1,"S3T21","CTRL",10,"d10","isl_pos",12.4
"C8_Sample16.fcs",NA,1,"S3T21","CTRL",10,"d10","islctnt_pos",16.3
"C8_Sample16.fcs",NA,1,"S3T21","CTRL",10,"d10","ctnt_pos",30.3
