Day,Measurement,Treatment1,Treatment2,Cell1,Cell2,Comparison,Control_Shapiro_PValue,Treatment_Shapiro_PValue,Normality,Levene_PValue,Variance_equal
6,dbl_neg,RA,NA,S3D21,S3T21,RA--S3T21vsS3D21,0.209032726,0.141109054,Normal,0.499887959,TRUE
8,dbl_neg,RA,NA,S3D21,S3T21,RA--S3T21vsS3D21,0.82637603,0.205946357,Normal,0.202498041,TRUE
10,dbl_neg,RA,NA,S3D21,S3T21,RA--S3T21vsS3D21,0.669635847,0.144808415,Normal,0.81905406,TRUE
4,isl_pos,RA,NA,S3D21,S3T21,RA--S3T21vsS3D21,0.631111545,0.589231416,Normal,0.339353548,TRUE
6,isl_pos,RA,NA,S3D21,S3T21,RA--S3T21vsS3D21,0.193917521,0.648062303,Normal,0.83151158,TRUE
8,isl_pos,RA,NA,S3D21,S3T21,RA--S3T21vsS3D21,0.772034329,0.488866737,Normal,0.473061306,TRUE
10,isl_pos,RA,NA,S3D21,S3T21,RA--S3T21vsS3D21,0.63158392,0.107462816,Normal,0.251468975,TRUE
4,islctnt_pos,RA,NA,S3D21,S3T21,RA--S3T21vsS3D21,0.931113776,0.119409465,Normal,0.697468538,TRUE
6,islctnt_pos,RA,NA,S3D21,S3T21,RA--S3T21vsS3D21,0.69477674,0.636886845,Normal,0.720994981,TRUE
8,islctnt_pos,RA,NA,S3D21,S3T21,RA--S3T21vsS3D21,0.574719868,0.813352715,Normal,0.902149331,TRUE
10,islctnt_pos,RA,NA,S3D21,S3T21,RA--S3T21vsS3D21,0.928406195,0.205261958,Normal,0.744205429,TRUE
4,tot_ctnt,RA,NA,S3D21,S3T21,RA--S3T21vsS3D21,0.94622603,0.419934414,Normal,0.379748065,TRUE
6,tot_ctnt,RA,NA,S3D21,S3T21,RA--S3T21vsS3D21,0.27377369,0.634873472,Normal,0.243035207,TRUE
8,tot_ctnt,RA,NA,S3D21,S3T21,RA--S3T21vsS3D21,0.608404854,0.193917521,Normal,0.335331638,TRUE
4,tot_isl,RA,NA,S3D21,S3T21,RA--S3T21vsS3D21,0.635344007,0.586301239,Normal,0.340189485,TRUE
6,tot_isl,RA,NA,S3D21,S3T21,RA--S3T21vsS3D21,0.2440956,0.463262875,Normal,0.636490036,TRUE
8,tot_isl,RA,NA,S3D21,S3T21,RA--S3T21vsS3D21,0.800939289,0.985834947,Normal,0.745965306,TRUE
10,tot_isl,RA,NA,S3D21,S3T21,RA--S3T21vsS3D21,0.903029492,0.161304682,Normal,0.514713776,TRUE
