"cell","day","treatment","mean","sd","measurement"
"S3D21",9,"CTRL",49.2666666666667,11.6453137928238,"tot_ctnt"
"S3D21",8,"CTRL",43.3666666666667,5.60119034967866,"tot_ctnt"
"S3D21",10,"CTRL",42.5233333333333,12.9534409842842,"tot_ctnt"
"S3T21",10,"CTRL",41.2666666666667,10.2943350117107,"tot_ctnt"
"S3T21",9,"CTRL",40.9666666666667,11.993887332026,"tot_ctnt"
"S3T21",8,"CTRL",40.9233333333333,6.27284890088493,"tot_ctnt"
"S3D21",10,"RA",38.2533333333333,10.5619237515395,"tot_ctnt"
"S3D21",7,"CTRL",37.2966666666667,6.76272381022124,"tot_ctnt"
"S3T21",7,"CTRL",30.6866666666667,2.62850401052259,"tot_ctnt"
"S3D21",8,"RA",27.01,12.2924895769734,"tot_ctnt"
"S3D21",6,"CTRL",19.5333333333333,15.4836763507035,"tot_ctnt"
"S3T21",6,"CTRL",14.9866666666667,11.4379733053253,"tot_ctnt"
"S3T21",6,"RA",14.9266666666667,3.58532192882778,"tot_ctnt"
"S3D21",6,"RA",4.36,0.7,"tot_ctnt"
"S3D21",5,"CTRL",1.01333333333333,1.07945974141389,"tot_ctnt"
"S3T21",5,"CTRL",0.631,0.440650655281483,"tot_ctnt"
"S3D21",3,"CTRL",0.288666666666667,0.0820081296783028,"tot_ctnt"
"S3T21",3,"CTRL",0.262,0.132181693134866,"tot_ctnt"
"S3T21",4,"CTRL",0.248666666666667,0.171188005810376,"tot_ctnt"
"S3D21",4,"CTRL",0.208,0.103812330674155,"tot_ctnt"
"S3T21",4,"RA",0.179666666666667,0.0183393929379719,"tot_ctnt"
"S3D21",4,"RA",0.155333333333333,0.0410162569395762,"tot_ctnt"
